species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,culmen_area_mm2,flipper_to_mass_ratio
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,731.17,0.048266666666666666
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE,687.3,0.04894736842105263
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,725.4,0.06
Adelie,Torgersen,44.45,17.3,197.0,4050.0,MALE,768.9850000000001,0.04864197530864198
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,708.3100000000001,0.05594202898550724
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,809.58,0.052054794520547946
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,692.42,0.049931034482758624
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,768.3200000000002,0.04171122994652406
Adelie,Torgersen,34.1,18.1,193.0,3475.0,MALE,617.21,0.05553956834532374
Adelie,Torgersen,42.0,20.2,190.0,4250.0,MALE,848.4,0.04470588235294118
Adelie,Torgersen,37.8,17.1,186.0,3300.0,MALE,646.38,0.056363636363636366
Adelie,Torgersen,37.8,17.3,180.0,3700.0,MALE,653.9399999999999,0.04864864864864865
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE,723.3600000000001,0.056875
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE,818.32,0.05026315789473684
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,730.0600000000001,0.045
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,651.48,0.05
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,735.3000000000001,0.05652173913043478
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,879.75,0.04377777777777778
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE,632.9599999999999,0.05533834586466165
Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE,989.0,0.04619047619047619
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,691.74,0.051176470588235295
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE,704.99,0.05
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE,689.28,0.049736842105263156
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,691.4200000000001,0.04683544303797468
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,667.3599999999999,0.04736842105263158
Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE,667.1699999999998,0.049210526315789475
Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE,755.1600000000001,0.05154929577464789
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,724.9499999999999,0.0584375
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,704.94,0.054603174603174605
Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE,765.4499999999999,0.04556962025316456
Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE,659.65,0.05476923076923077
Adelie,Dream,37.2,18.1,178.0,3900.0,MALE,673.32,0.045641025641025644
